地區,姓名,性別,出生年次,推薦政黨,得票數,得票率,當選註記,是否現任,總收入,個人捐贈收入,營利事業捐贈收入,政黨捐贈收入,人民團體捐贈收入,匿名捐贈收入,其他收入
臺北市第02選區,周守訓,男,1966,中國國民黨,81386,52.39%,*,是,43717569,15851900,19934048,7310000,540000,77188,4433
臺北市第05選區,林郁方,男,1951,中國國民黨,87448,58.24%,*,是,39103644,11538954,18751200,7420000,1307000,76400,10090
臺北縣第01選區,吳育昇,男,1958,中國國民黨,82949,58.38%,*,是,40285000,16366608,18072900,5000000,346000,245069,254423
臺中縣第02選區,顏清標,男,1960,無黨團結聯盟,83349,59.94%,*,是,29302838,9937000,18058000,0,1306000,1000,838
臺北市第01選區,丁守中,男,1954,中國國民黨,94694,59.81%,*,是,35497248,10745270,17018120,5920000,1782000,24000,7858
高雄縣第02選區,余政憲,男,1959,民主進步黨,65257,42.6%,,否,24045796,7462000,16211600,300000,72000,0,196
桃園縣第03選區,吳志揚,男,1969,中國國民黨,85821,63.22%,*,是,25572851,3932800,16028620,5100000,393300,116000,2131
桃園縣第05選區,朱鳳芝,女,1948,中國國民黨,79671,63.76%,*,是,25079849,5122350,14297503,5000000,550000,105520,4476
彰化縣第03選區,鄭汝芬,女,1957,中國國民黨,68486,45.33%,*,否,20826327,1428800,14092500,5000000,132000,72400,627
臺中市第02選區,盧秀燕,女,1961,中國國民黨,95873,57.08%,*,是,36089833,16447404,13752658,5000000,852000,35268,2503
臺北市第03選區,郭正亮,男,1961,民主進步黨,63773,38.44%,,是,18076338,4206680,13417915,300000,112000,35000,4743
桃園縣第06選區,孫大千,男,1969,中國國民黨,79593,65.02%,*,是,21384905,2988300,13322938,5000000,60000,3000,10667
桃園縣第02選區,廖正井,男,1945,中國國民黨,71174,54.57%,*,否,24827652,6051560,13285700,5000000,350000,131400,8992
南投縣第01選區,吳敦義,男,1948,中國國民黨,64295,67.12%,*,是,24862759,6559600,12764000,5100000,246000,189490,3669
臺北縣第08選區,趙永清,男,1957,民主進步黨,63123,39.65%,,是,23320380,10038000,12321500,300000,660000,44,836
臺中縣第01選區,蔡其昌,男,1969,民主進步黨,51624,46.4%,,是,24416304,10391488,12232840,1155000,634000,0,2976
臺北縣第05選區,廖本煙,男,1956,民主進步黨,55444,46.83%,,是,22723108,9690500,11902600,300000,510000,318600,1408
臺北縣第10選區,李文忠,男,1958,民主進步黨,50869,39.37%,,否,20133210,6236070,11858000,775000,1250000,14000,140
臺北縣第04選區,吳秉叡,男,1966,民主進步黨,70265,47.13%,,是,25563530,13133132,11737800,300000,380000,9600,2998
臺北縣第02選區,林志嘉,男,1958,台灣團結聯盟,8242,6%,,是,13425148,1947000,11365000,0,110000,0,3148
臺中市第03選區,黃義交,男,1953,中國國民黨,76209,54.91%,*,是,27838471,8755800,11315000,6100000,1650000,12500,5171
臺北市第05選區,段宜康,男,1963,民主進步黨,61480,40.94%,,否,24269521,10432946,11212400,965000,1652000,2100,5075
新竹縣第01選區,邱鏡淳,男,1949,中國國民黨,127892,66.52%,*,是,21824149,5119840,10955000,5100000,600000,41600,7709
彰化縣第04選區,江昭儀,男,1943,民主進步黨,54808,37.08%,,是,17777484,6874500,10477600,300000,120000,5000,384
臺北市第06選區,李慶安,女,1959,中國國民黨,99294,66.8%,*,是,28553345,10616588,10215200,5620000,2010888,86034,4635
臺南縣第03選區,李俊毅,男,1959,民主進步黨,84873,52.66%,*,是,25499966,13213800,10154000,1250000,880000,0,2166
臺北縣第12選區,李慶華,男,1948,中國國民黨,63297,51.96%,*,是,18009232,2190800,9572000,6000000,176000,67690,2742
臺北縣第03選區,余天,男,1948,民主進步黨,75212,49.51%,*,否,13064282,3140800,9465000,300000,110000,48100,382
高雄市第01選區,黃昭順,女,1953,中國國民黨,92417,58.29%,*,是,32570439,16087880,9062395,5000000,2407250,12045,869
臺北縣第11選區,羅明才,男,1967,中國國民黨,105601,69.69%,*,是,16035632,2159888,8770000,5000000,100000,5000,744
臺北縣第12選區,陳朝龍,男,1953,民主進步黨,46590,38.24%,,是,13302454,4214000,8642000,300000,146000,0,454
臺南縣第02選區,黃偉哲,男,1963,民主進步黨,95061,59.16%,*,是,14423616,5427600,8505000,347500,130000,12000,1516
臺北市第07選區,費鴻泰,男,1954,中國國民黨,95145,65.79%,*,是,24047710,9136500,8447305,5600000,362000,501000,905
彰化縣第03選區,林重謨,男,1947,民主進步黨,46595,30.84%,,是,13076846,3489000,8379000,1190000,0,17000,1846
宜蘭縣第01選區,林建榮,男,1946,中國國民黨,94965,53.12%,*,是,24231160,9946680,8226600,5600000,456000,100,1780
臺中縣第03選區,簡肇棟,男,1955,民主進步黨,61927,45.04%,,否,16905983,7298000,8187000,1060000,360800,0,183
高雄市第01選區,姚文智,男,1965,民主進步黨,65266,41.17%,,否,26530658,17902550,8156000,300000,146000,25200,908
