姓名,地區,性別,出生年次,推薦政黨,得票數,得票率,當選註記,是否現任,總收入,個人捐贈收入,營利事業捐贈收入,政黨捐贈收入,人民團體捐贈收入,匿名捐贈收入,其他收入
周守訓,臺北市第02選區,男,1966,中國國民黨,96119,48.47%,,是,53177447,21925618,25520000,5000000,680000,46200,5629
丁守中,臺北市第01選區,男,1954,中國國民黨,112571,55.65%,*,是,56757081,27955099,25300000,3000000,480000,8100,13882
吳育昇,新北市第01選區,男,1958,中國國民黨,107821,50.77%,*,是,49884737,24298975,21231000,3800000,246000,303700,5062
李乾龍,新北市第03選區,男,1949,中國國民黨,94634,48.73%,,否,30390544,6322842,20850000,3000000,200000,15700,2002
顏清標,臺中市第02選區,男,1960,無黨團結聯盟,118585,59.79%,*,是,29644395,10943560,17739000,0,961000,0,835
費鴻泰,臺北市第07選區,男,1954,中國國民黨,114009,62.96%,*,是,41700364,20601830,17623000,3150000,105000,215200,5334
侯彩鳳,高雄市第06選區,女,1952,中國國民黨,72842,47.20%,,是,38829664,17003700,16469400,4000000,1345200,9600,1764
徐耀昌,苗栗縣第02選區,男,1955,中國國民黨,118858,71.65%,*,是,25853538,7871300,14280000,3000000,660000,41000,1238
楊瓊瓔,臺中市第03選區,女,1964,中國國民黨,99400,57.52%,*,是,35015437,17464500,14228000,3000000,321000,0,1937
林益世,高雄市第02選區,男,1968,中國國民黨,92902,48.38%,,是,29399551,9510500,13816000,5000000,990000,82000,1051
盧秀燕,臺中市第05選區,女,1961,中國國民黨,129822,57.86%,*,是,32462546,15329428,13705000,3000000,419600,5115,3403
王惠美,彰化縣第01選區,女,1968,中國國民黨,63026,35.21%,*,否,29892866,12470600,12244800,5000000,123000,53681,785
林滄敏,彰化縣第02選區,男,1958,中國國民黨,96108,55.46%,*,是,25619999,9131200,11765500,3000000,1720000,1100,2199
李鴻鈞,新北市第04選區,男,1959,中國國民黨,103165,51.07%,*,是,20272710,5261636,11710000,3000000,300000,0,1074
鄭麗文,臺中市第07選區,女,1969,中國國民黨,92369,46.00%,,是,23943652,6285000,11466000,6000000,125000,65423,2229
黃昭順,高雄市第03選區,女,1953,中國國民黨,101055,48.72%,*,是,33681648,17577816,11149000,3000000,1932500,21500,832
林郁方,臺北市第05選區,男,1951,中國國民黨,100292,55.25%,*,是,31311332,16500647,10408000,4000000,395000,5100,2585
謝國樑,基隆市第01選區,男,1975,中國國民黨,110196,52.39%,*,是,17883868,5573600,10300000,2000000,0,10000,268
廖正井,桃園縣第02選區,男,1945,中國國民黨,92035,50.21%,*,否,19192085,3404100,10082000,5500000,200000,1000,4985
羅明才,新北市第11選區,男,1967,中國國民黨,132426,66.56%,*,是,16575443,3034200,10070000,3000000,450000,20100,1143
陳超明,苗栗縣第01選區,男,1951,中國國民黨,82902,56.81%,*,否,20894800,7529000,9995800,3000000,363000,7000,0
高志鵬,新北市第03選區,男,1963,民主進步黨,95649,49.25%,*,是,19217741,9128600,9935000,0,100000,52600,1541
林岱樺,高雄市第04選區,女,1972,民主進步黨,111188,64.81%,*,是,25912103,15207110,9924000,100000,676000,1100,3893
徐欣瑩,新竹縣第01選區,女,1972,中國國民黨,171466,61.69%,*,否,21628095,7852343,9455240,4000000,227000,91240,2272
陳根德,桃園縣第01選區,男,1956,中國國民黨,102648,55.34%,*,是,19191565,6334300,9337000,3000000,520000,0,265
管碧玲,高雄市第05選區,女,1956,民主進步黨,92043,55.75%,*,是,28239386,14051328,9130500,1250000,827200,2975139,5219
黃義交,臺中市第06選區,男,1953,中國國民黨,84937,45.48%,,是,30864746,15089168,8992000,6000000,510000,267640,5938
李全教,臺南市第05選區,男,1960,中國國民黨,106619,46.25%,,否,19149074,6078100,8944000,4000000,100000,26500,474
楊麗環,桃園縣第04選區,女,1957,中國國民黨,105827,58.20%,*,是,24108998,11562100,8852000,3000000,694000,0,898
邱毅,高雄市第07選區,男,1956,中國國民黨,83379,45.25%,,是,21041100,6384600,8830500,5000000,792000,34000,0
陳明文,嘉義縣第02選區,男,1954,民主進步黨,86828,55.19%,*,是,19661191,10490488,8750000,0,310000,109117,1586
孫大千,桃園縣第06選區,男,1969,中國國民黨,102528,60.34%,*,是,12783531,1555000,8720000,2500000,0,5000,3531
翁重鈞,嘉義縣第01選區,男,1955,中國國民黨,73481,50.30%,*,是,33344024,16880600,8275000,8000000,150000,37000,1424
賴士葆,臺北市第08選區,男,1951,中國國民黨,117892,63.42%,*,是,27965092,14641054,8266000,5000000,50000,5000,3038
蔡其昌,臺中市第01選區,男,1969,民主進步黨,81669,54.54%,*,否,21643851,13455138,8035720,0,135000,15500,2493
李慶華,新北市第12選區,男,1948,中國國民黨,73953,42.07%,*,是,17621614,6470000,7680000,3000000,460000,10000,1614
林明溱,南投縣第02選區,男,1951,中國國民黨,79008,54.31%,*,是,18315886,7612000,7520000,3000000,160000,22600,1286
陳學聖,桃園縣第03選區,男,1957,中國國民黨,97654,53.85%,*,否,15804912,4937912,7412000,3000000,443000,12000,0
許添財,臺南市第04選區,男,1951,民主進步黨,115439,53.02%,*,是,19166942,11746428,7318000,0,40000,62300,214
蔡正元,臺北市第04選區,男,1953,中國國民黨,111260,48.22%,*,是,13973250,3601650,7039600,3000000,300000,32000,0
林佳龍,臺中市第06選區,男,1964,民主進步黨,96685,51.78%,*,否,27401548,19558027,7025700,0,526000,287392,4429
鍾紹和,高雄市第01選區,男,1956,中國國民黨,75627,45.68%,,是,17674118,6182300,6882000,4000000,510000,99000,818
張嘉郡,雲林縣第01選區,女,1981,中國國民黨,90811,50.44%,*,是,19953707,8022100,6823000,3000000,2103000,5000,607
蘇震清,屏東縣第01選區,男,1965,民主進步黨,94538,58.20%,*,是,23968872,16842500,6773000,0,292000,60000,1372
林益邦,彰化縣第01選區,男,1974,無黨籍及未經政黨推薦,50615,28.27%,,否,10768778,4000945,6766000,0,0,1500,333
陳亭妃,臺南市第03選區,女,1974,民主進步黨,139301,61.66%,*,是,20076174,13273772,6570000,0,144000,86911,1491
黃珊珊,臺北市第04選區,女,1969,親民黨,39593,17.16%,,否,13220090,6696808,6410000,0,100000,12000,1282
鄭文燦,桃園縣第01選區,男,1967,民主進步黨,82820,44.65%,,否,16437768,9756720,6361000,200000,120000,0,48
林德福,新北市第09選區,男,1953,中國國民黨,89767,48.83%,*,是,16107881,6643250,6353000,3000000,109000,250,2381
趙天麟,高雄市第07選區,男,1973,民主進步黨,98341,53.37%,*,否,24671446,18003958,6102550,108218,236000,219599,1121
姚文智,臺北市第02選區,男,1965,民主進步黨,99229,50.04%,*,否,20983121,14419608,5942280,345900,90000,182764,2569
林建榮,宜蘭縣第01選區,男,1946,中國國民黨,118971,48.30%,,是,21684368,8756000,5876000,6500000,552000,0,368
黃志雄,新北市第05選區,男,1976,中國國民黨,90856,52.77%,*,是,19969286,8073200,5710000,6000000,155000,29899,1187
陳唐山,臺南市第05選區,男,1935,民主進步黨,120401,52.23%,*,否,12412413,6600600,5685000,0,120000,5000,1813
邱珮琳,新北市第08選區,女,1957,無黨籍及未經政黨推薦,23023,10.97%,,否,10306484,4585488,5683720,0,10000,26117,1159
潘孟安,屏東縣第03選區,男,1963,民主進步黨,93685,66.64%,*,是,18640915,12036600,5597688,950000,56000,500,127
謝龍介,臺南市第03選區,男,1961,中國國民黨,84095,37.22%,,否,15509447,5885112,5590000,4000000,0,34000,335
林鴻池,新北市第06選區,男,1955,中國國民黨,86119,53.39%,*,是,20446190,11737880,5524000,3000000,184000,0,310
邱議瑩,高雄市第01選區,女,1971,民主進步黨,89913,54.31%,*,是,14856582,8558000,5441000,100000,750000,7200,382
蔡錦隆,臺中市第04選區,男,1958,中國國民黨,101702,51.10%,*,是,18087679,9252400,5315400,3000000,516000,3000,879
張廖萬堅,臺中市第04選區,男,1965,民主進步黨,92213,46.33%,,否,21360721,15886378,5246000,0,203000,24000,1343
鄭汝芬,彰化縣第03選區,女,1957,中國國民黨,101352,55.89%,*,是,17937825,9653000,5132000,3000000,150000,1000,1825
郭俊銘,臺中市第08選區,男,1955,民主進步黨,60964,39.47%,,否,16121937,10716200,5002000,0,385000,18000,737
許智傑,高雄市第08選區,男,1966,民主進步黨,104292,51.96%,*,否,12183052,6299380,4972116,100000,756000,55306,250
李昆澤,高雄市第06選區,男,1964,民主進步黨,81477,52.79%,*,否,22936709,16951800,4950000,100000,388000,546000,909
羅淑蕾,臺北市第03選區,女,1952,中國國民黨,118503,56.07%,*,是,27240836,14578300,4932000,3000000,4675000,52000,3536
羅世雄,高雄市第05選區,男,1969,中國國民黨,70896,42.94%,,否,17673400,8887500,4806000,3000000,916000,60900,3000
黃偉哲,臺南市第02選區,男,1963,民主進步黨,144399,68.08%,*,是,11450235,6059800,4775000,489250,125000,0,1185
蘇俊賓,臺南市第04選區,男,1976,中國國民黨,102266,46.97%,,否,18879534,8424545,4741000,5500000,0,210995,2994
郭榮宗,桃園縣第02選區,男,1954,民主進步黨,91250,49.78%,,是,13001325,7955200,4722000,190000,120000,11300,2825
林濁水,新北市第04選區,男,1947,民主進步黨,94126,46.60%,,否,9791314,5057540,4672000,0,50000,11000,774
