姓名,屆數,捐贈者/支出對象,交易日期,收支科目,身份證/統一編,收入金額,地址,填答數,其他
丁守中,8,鑫鴻國際投資股份有限公司,100/10/30,營利事業捐贈收入,84708351,1000000,台北市八德路,5,
丁守中,8,遠銀人身保險代理人股份有限公司,100/11/15,營利事業捐贈收入,70383986,1000000,台北市中正區,6,
丁守中,8,遠紡實業股份有限公司,100/11/15,營利事業捐贈收入,05082563,1000000,台北市敦化南,5,收入金額：1000000=4 100000=1;地址：臺北市敦化南=4 台北市敦化南=2
丁守中,8,裕隆經管企業股份有限公司,100/12/20,營利事業捐贈收入,25099079,1000000,新北市新店區,5,地址：新北市新店區=5 =2
丁守中,8,新林電機股份有限公司,100/09/07,營利事業捐贈收入,80676244,1000000,台北市中山區,5,交易日期：100/09/07=5 10/09/07=1
丁守中,8,新竹物流股份有限公司,100/09/07,營利事業捐贈收入,46480100,1000000,新竹縣新豐鄉,5,
丁守中,8,冠慶機電股份有限公司,100/12/27,營利事業捐贈收入,16290862,1000000,台北市大安區,6,
丁守中,8,亞洲水泥股份有限公司,100/11/15,營利事業捐贈收入,03244509,1000000,台北市敦化南,6,地址：臺北市敦化南=5 台北市敦化南=1
丁守中,8,永進投資股份有限公司,100/06/20,營利事業捐贈收入,70474297,1000000,台北市長安東,5,
丁守中,8,正崴精密工業股份有限公司,100/10/30,營利事業捐贈收入,22223510,1000000,新北市土城區,5,收支科目：=7 營利事業捐贈收入=3
丁守中,8,台元紡織股份有限公司,100/11/23,營利事業捐贈收入,03516001,1000000,台北市敦化南,5,
丁守中,8,邦貴企業管理顧問股份有限公司,100/11/15,營利事業捐贈收入,36532614,700000,台北市南京東,5,
丁守中,8,研本投資股份有限公司,100/08/26,營利事業捐贈收入,84947607,600000,台北市文山區,5,收入金額：600000=3 匿名捐贈=1;地址：臺北市文山區=4 臺北市文刪區=1
丁守中,8,鵬程建設股份有限公司,100/09/19,營利事業捐贈收入,84212470,500000,新北市五股區,5,
丁守中,8,震旦開發股份有限公司,100/11/24,營利事業捐贈收入,22007512,500000,台北市信義區,5,
丁守中,8,德式馬企業股份有限公司,100/10/13,營利事業捐贈收入,04241868,500000,台北市內湖區,5,
丁守中,8,源寶開發投資股份有限公司,100/11/17,營利事業捐贈收入,16441812,500000,台北市中山區,5,
丁守中,8,貿聯企業股份有限公司,100/08/24,營利事業捐贈收入,04398474,500000,台北市濟南路,9,
丁守中,8,景德勝股份有限公司,100/09/07,營利事業捐贈收入,12246423,500000,新竹縣新豐鄉,4,交易日期：100/09/07=4 =1
丁守中,8,金儀股份有限公司,100/11/24,營利事業捐贈收入,03028349,500000,台北市信義區,7,
丁守中,8,宏將廣告股份有限公司,100/11/23,營利事業捐贈收入,16293208,500000,台北市中山區,5,
丁守中,8,全球科技股份有限公司,100/09/07,營利事業捐贈收入,86482532,500000,台北市士林區,5,
丁守中,8,互盛股份有限公司,100/11/24,營利事業捐贈收入,12516241,500000,台北市松山區,5,捐贈者/支出對象：互盛股份有限公司=16 =2
丁守中,8,中國聯運股份有限公司,100/08/24,營利事業捐贈收入,43778070,500000,台北市濟南路,4,
丁守中,8,大松投資股份有限公司,100/11/17,營利事業捐贈收入,16435852,500000,台北市中山區,5,交易日期：100/11/17=5 =1;支出金額：=4 員=1
丁守中,8,九昱建設股份有限公司,100/12/17,營利事業捐贈收入,86517650,500000,台北市南京東,4,
丁守中,8,竹興製衣股份有限公司,100/11/17,營利事業捐贈收入,50056767,400000,台北市內湖區,5,
丁守中,8,年興紡織股份有限公司,100/11/17,營利事業捐贈收入,22266307,400000,苗栗縣後龍鎮,8,
丁守中,8,德春營造股份有限公司,100/10/19,營利事業捐贈收入,04565958,300000,台北市大安區,5,地址：臺北市大安區=4 台北市大安區=1
丁守中,8,源富建設股份有限公司,100/10/20,營利事業捐贈收入,86119251,300000,新竹縣竹北市,4,
丁守中,8,敦乾投資股份有限公司,100/10/21,營利事業捐贈收入,16166202,300000,台北市南港區,5,
丁守中,8,捷順國際開發股份有限公司,100/12/05,營利事業捐贈收入,86160167,300000,台北市大同區,5,
丁守中,8,宏崑貿易股份有限公司,100/10/04,營利事業捐贈收入,12361540,300000,台北市中山區,6,
丁守中,8,正大尼龍工業股份有限公司,101/01/06,營利事業捐贈收入,38018607,300000,台北市中山區,4,捐贈者/支出對象：正大尼龍工業股份有限公司=4 政大尼龍工業股份有限公司=1
丁守中,8,六和紡織廠股份有限公司,100/11/14,營利事業捐贈收入,11113500,300000,台北市承德路,4,地址：台北市承德路=4 臺北市承德路=1
丁守中,8,新藝電子股份有限公司,100/08/25,營利事業捐贈收入,81428378,257000,高雄市前鎮區,5,
丁守中,8,尊勝建設開發股份有限公司,100/11/22,營利事業捐贈收入,80515607,200000,台北市內湖區,5,地址：臺北市內湖區=4 台北市內湖區=1
丁守中,8,創意家行銷股份有限公司,100/11/29,營利事業捐贈收入,27749417,200000,台北市瑞光路,5,收支科目：營利事業捐贈收入=4 匿名=1
丁守中,8,東南旅行社股份有限公司,100/11/15,營利事業捐贈收入,79228705,200000,台北市中山北,5,
丁守中,8,艾訊股份有限公司,100/09/05,營利事業捐贈收入,23718011,200000,新北市新店區,5,
丁守中,8,史恩實業股份有限公司,100/11/22,營利事業捐贈收入,80189912,200000,台北市內湖區,6,
