候選人,推薦政黨,當選註記,序號,交易日期,收支科目,統一編號,捐贈者／支出對象,收入金額,支出金額,金錢類,地址,P
黃珊珊,親民黨,,1,105/01/15,營利事業捐贈收入,38018607,正大尼龍工業股份有限公司,200000,,是,臺北市中山區,
黃珊珊,親民黨,,2,105/01/13,營利事業捐贈收入,53936963,光路國際有限公司,20000,,是,新北市汐止區,
黃珊珊,親民黨,,3,104/12/31,營利事業捐贈收入,23116897,德勤投資股份有限公司,1000000,,是,臺北市大安區,
黃珊珊,親民黨,,4,104/12/29,營利事業捐贈收入,28851059,宏賢建設股份有限公司,200000,,是,臺北市松山區,
黃珊珊,親民黨,,5,104/12/25,營利事業捐贈收入,86630920,功學社單車股份有限公司,45000,,否,桃園市桃園區,
黃珊珊,親民黨,,6,104/12/25,營利事業捐贈收入,22265497,皇家可口股份有限公司,200000,,是,臺北市大同區,
黃珊珊,親民黨,,7,104/12/17,營利事業捐贈收入,11059409,大華建設股份有限公司,200000,,是,臺北市內湖區,
黃珊珊,親民黨,,8,104/12/15,營利事業捐贈收入,84192755,建喬營造股份有限公司,100000,,是,臺北市大安區,
黃珊珊,親民黨,,9,104/12/08,營利事業捐贈收入,99617739,元氣足體養生館,5000,,是,臺北市內湖區,
黃珊珊,親民黨,,10,104/12/07,營利事業捐贈收入,12464715,達欣開發股份有限公司,200000,,是,臺北市大安區,
黃珊珊,親民黨,,11,104/11/26,營利事業捐贈收入,80679278,竹源景觀工程有限公司,38000,,是,臺北市南港區,
黃珊珊,親民黨,,12,104/11/23,營利事業捐贈收入,28205594,千德不動產仲介經紀有限公司,2000,,是,臺北市南港區,
黃珊珊,親民黨,,13,104/11/23,營利事業捐贈收入,70577054,瑞山手藝有限公司,2000,,是,臺北市大同區,
黃珊珊,親民黨,,14,104/11/23,營利事業捐贈收入,28853346,信和工程有限公司,5000,,是,臺北市內湖區,
黃珊珊,親民黨,,15,104/11/23,營利事業捐贈收入,53324817,智新國際有限公司,10000,,是,新北市汐止區,
黃珊珊,親民黨,,16,104/11/23,營利事業捐贈收入,89605100,廣先堂有限公司,12000,,是,臺北市大同區,
黃珊珊,親民黨,,17,104/11/20,營利事業捐贈收入,27994467,魂麵股份有限公司,100000,,是,臺北市松山區,
黃珊珊,親民黨,,18,104/11/13,營利事業捐贈收入,22354940,信義房屋仲介股份有限公司,500000,,是,臺北市信義區,
黃珊珊,親民黨,,19,104/11/09,營利事業捐贈收入,97300545,同昌投資股份有限公司,250000,,是,臺北市大安區,
黃珊珊,親民黨,,20,104/11/06,營利事業捐贈收入,24496939,信義全球資產管理股份有限公司,500000,,是,臺北市信義區,
黃珊珊,親民黨,,21,104/11/04,營利事業捐贈收入,16290862,冠慶機電股份有限公司,500000,,是,臺北市大安區,
黃珊珊,親民黨,,22,104/10/22,營利事業捐贈收入,72126020,瓏山林營建股份有限公司,500000,,是,臺北市松山區,
黃珊珊,親民黨,,23,104/10/16,營利事業捐贈收入,30900892,冠德建設股份有限公司,500000,,是,臺北市大安區,
黃珊珊,親民黨,,24,104/10/14,營利事業捐贈收入,08606277,進吉漢藥房,12000,,是,臺北市內湖區,
黃珊珊,親民黨,,25,104/10/14,營利事業捐贈收入,52507198,金例貿易有限公司,50000,,是,臺中市北區文,
黃珊珊,親民黨,,26,104/10/13,營利事業捐贈收入,16156865,巨豐旅館管理顧問股份有限公司,500000,,是,臺北市大安區,
黃珊珊,親民黨,,27,104/10/08,營利事業捐贈收入,16298040,中保物流股份有限公司,1000000,,是,臺北市大同區,
黃珊珊,親民黨,,28,104/10/05,營利事業捐贈收入,27758175,禮客股份有限公司,100000,,是,臺北市文山區,
黃珊珊,親民黨,,29,104/10/01,營利事業捐贈收入,26374931,食將王鐵板燒小吃店,5000,,是,臺北市內湖區,
黃珊珊,親民黨,,30,104/09/22,營利事業捐贈收入,27542106,萬榮國際股份有限公司,10000,,是,臺北市中山區,
黃珊珊,親民黨,,31,104/09/18,營利事業捐贈收入,13113864,銳錡國際有限公司,10000,,是,臺北市大同區,
黃珊珊,親民黨,,32,104/09/18,營利事業捐贈收入,25113179,安家國際人力資源有限公司,10000,,是,臺北市中山區,
黃珊珊,親民黨,,33,104/09/18,營利事業捐贈收入,80193964,神固國際科技工程企業有限公司,10000,,是,臺北市中山區,
黃珊珊,親民黨,,34,104/09/18,營利事業捐贈收入,22445533,龍明生國際開發有限公司,10000,,是,臺北市松山區,
黃珊珊,親民黨,,35,104/09/18,營利事業捐贈收入,84294373,鴻霖國際事業股份有限公司,10000,,是,新北市中和區,
黃珊珊,親民黨,,36,104/09/15,營利事業捐贈收入,16142764,誠融實業股份有限公司,100000,,是,臺北市內湖區,
黃珊珊,親民黨,,37,104/09/15,營利事業捐贈收入,86308247,富懋建材事業股份有限公司,10000,,是,臺北市內湖區,
黃珊珊,親民黨,,38,104/09/15,營利事業捐贈收入,24320221,瑞智人力資源有限公司,20000,,是,臺北市內湖區,
黃珊珊,親民黨,,39,104/09/15,營利事業捐贈收入,12795187,台灣一禾國際股份有限公司,50000,,是,臺北市內湖區,
黃珊珊,親民黨,,40,104/09/11,營利事業捐贈收入,84501598,怡客咖啡股份有限公司,20000,,是,臺北市內湖區,
黃珊珊,親民黨,,41,104/09/09,營利事業捐贈收入,24946668,聚鑫國際實業有限公司,10000,,是,臺北市士林區,
黃珊珊,親民黨,,42,104/09/08,營利事業捐贈收入,27552552,紅鉅國際有限公司,40000,,是,臺北市大安區,
黃珊珊,親民黨,,43,104/09/07,營利事業捐贈收入,97298604,誠隆汽車股份有限公司,100000,,是,民權東路段號,
黃珊珊,親民黨,,44,104/09/04,營利事業捐贈收入,80285957,博達汽車股份有限公司,100000,,是,臺北市內湖區,
黃珊珊,親民黨,,45,104/09/04,營利事業捐贈收入,96945765,管家婆科技股份有限公司,200000,,是,臺北市文山區,
黃珊珊,親民黨,,46,104/08/25,營利事業捐贈收入,86774968,八方行旅行社股份有限公司,10000,,是,臺北市中正區,
黃珊珊,親民黨,,47,104/08/25,營利事業捐贈收入,80198953,新凱汽車股份有限公司,100000,,是,臺北市內湖區,
黃珊珊,親民黨,,48,104/08/24,營利事業捐贈收入,84251037,北碁建設股份有限公司,500000,,是,臺北市內湖區,
黃珊珊,親民黨,,49,104/08/24,營利事業捐贈收入,30821861,文心建設股份有限公司,500000,,是,臺北市內湖區,
黃珊珊,親民黨,,50,104/08/17,營利事業捐贈收入,28448207,華友國際股份有限公司,20000,,是,臺北市內湖區,
黃珊珊,親民黨,,51,104/07/30,營利事業捐贈收入,37990623,森峰聯合建築師事務所,200000,,是,新北市新莊區,
陳明文,民主進步黨,*,1,104/12/31,營利事業捐贈收入,17168615,建興企業社,50000,,是,嘉義縣竹崎鄉,
陳明文,民主進步黨,*,2,104/12/31,營利事業捐贈收入,84846045,冠賢機電股份有限公司,50000,,是,嘉義縣民雄鄉,
陳明文,民主進步黨,*,3,104/12/29,營利事業捐贈收入,16446008,東富投資股份有限公司,1000000,,是,臺北市松山區,
陳明文,民主進步黨,*,4,104/12/29,營利事業捐贈收入,16745097,亞洲投資股份有限公司,1000000,,是,臺北市敦化南,
陳明文,民主進步黨,*,5,104/12/24,營利事業捐贈收入,66446186,東陽建設實業股份有限公司,200000,,是,嘉義市書院里,
陳明文,民主進步黨,*,6,104/12/24,營利事業捐贈收入,86119323,寧漢企業股份有限公司,500000,,是,高雄市苓雅區,
陳明文,民主進步黨,*,7,104/12/24,營利事業捐贈收入,75970680,勝一化工股份有限公司,500000,,是,高雄市永安區,
陳明文,民主進步黨,*,8,104/12/14,營利事業捐贈收入,85086859,天良生物科技企業股份有限公司,100000,,是,新北市汐止區,
陳明文,民主進步黨,*,9,104/12/08,營利事業捐贈收入,84253464,興威股份有限公司,1000000,,是,臺中市南屯區,
陳明文,民主進步黨,*,10,104/12/04,營利事業捐贈收入,24419125,嘉禾玉山國際大飯店有限公司,100000,,是,嘉義市西區玉,
陳明文,民主進步黨,*,11,104/11/30,營利事業捐贈收入,53300934,香湖國際大飯店股份有限公司,100000,,是,嘉義市西區友,
陳明文,民主進步黨,*,12,104/11/02,營利事業捐贈收入,16089901,鑫傳視訊廣告股份有限公司,200000,,是,臺中市大里區,
陳明文,民主進步黨,*,13,104/10/29,營利事業捐贈收入,66512164,天珩機械股份有限公司,150000,,是,嘉義縣大林鎮,
陳明文,民主進步黨,*,14,104/10/23,營利事業捐贈收入,16716121,照順投資股份有限公司,16000,,否,臺南市中西區,
陳明文,民主進步黨,*,15,104/10/14,營利事業捐贈收入,24636853,勤道瀝青有限公司,50000,,是,嘉義縣水上鄉,
陳明文,民主進步黨,*,16,104/10/13,營利事業捐贈收入,24282789,六健工程有限公司,50000,,是,嘉義縣水上鄉,
陳明文,民主進步黨,*,17,104/10/07,營利事業捐贈收入,28511019,森德皮革有限公司,200000,,是,嘉義縣民雄鄉,
陳明文,民主進步黨,*,18,104/10/05,營利事業捐贈收入,16743605,達泰投資股份有限公司,250000,,是,臺北市敦化南,
陳明文,民主進步黨,*,19,104/10/05,營利事業捐贈收入,97506791,愛地雅工業股份有限公司,250000,,是,臺中市梧棲區,
陳明文,民主進步黨,*,20,104/10/03,營利事業捐贈收入,16776485,雙鏘實業有限公司,50000,,是,臺北市內湖區,
陳明文,民主進步黨,*,21,104/10/03,營利事業捐贈收入,84944952,嘉忠車輛配備股份有限公司,50000,,是,臺北市內湖區,
陳明文,民主進步黨,*,22,104/10/03,營利事業捐贈收入,22708556,啓泰農業資材有限公司,50000,,是,嘉義縣竹崎鄉,
陳明文,民主進步黨,*,23,104/10/03,營利事業捐贈收入,16571814,凱富貨運有限公司,100000,,是,嘉義縣新港鄉,
陳明文,民主進步黨,*,24,104/10/03,營利事業捐贈收入,53636305,合貿工程企業有限公司,100000,,是,嘉義縣民雄鄉,
陳明文,民主進步黨,*,25,104/10/03,營利事業捐贈收入,12617249,宏哲鋼管傢俱工業有限公司,50000,,是,嘉義縣朴子市,
陳明文,民主進步黨,*,26,104/10/03,營利事業捐贈收入,27261436,三好屋股份有限公司,50000,,是,嘉義縣六腳鄉,
陳明文,民主進步黨,*,27,104/10/03,營利事業捐贈收入,25175863,日興堂囍餅有限公司,50000,,是,雲林縣元表鄉,
陳明文,民主進步黨,*,28,104/10/03,營利事業捐贈收入,28037210,御嘉建設股份有限公司,100000,,是,嘉義市西區八,
陳明文,民主進步黨,*,29,104/10/03,營利事業捐贈收入,82109859,展譽造船有限公司,50000,,是,高雄市旗津區,
陳明文,民主進步黨,*,30,104/10/03,營利事業捐贈收入,16667037,聯陞水泥製品有限公司,50000,,是,嘉義縣民雄鄉,
陳明文,民主進步黨,*,31,104/10/03,營利事業捐贈收入,80013739,豐舜機械有限公司,50000,,是,嘉義縣溪口鄉,
沈智慧,中國國民黨,,1,105/01/15,營利事業捐贈收入,27467916,幸峰混凝土有限公司,20000,,是,彰化縣彰化市,
沈智慧,中國國民黨,,2,105/01/13,營利事業捐贈收入,27902663,怡佳保全股份有限公司,100000,,是,臺中市北區進,
沈智慧,中國國民黨,,3,105/01/06,營利事業捐贈收入,22860762,協和旅行社股份有限公司,20000,,是,臺北市內湖區,
沈智慧,中國國民黨,,4,105/01/04,營利事業捐贈收入,22065097,聯立汽車有限公司,247800,,是,新竹市中華路,
沈智慧,中國國民黨,,5,104/12/30,營利事業捐贈收入,52871082,均記貿易有限公司,100000,,是,臺中市南屯區,
沈智慧,中國國民黨,,6,104/12/29,營利事業捐贈收入,86428480,丹澤企業股份有限公司,200000,,是,臺中市沙鹿區,
沈智慧,中國國民黨,,7,104/12/28,營利事業捐贈收入,54241358,華冠有限公司,50000,,是,臺中市西區五,
沈智慧,中國國民黨,,8,104/12/28,營利事業捐贈收入,54747103,美而堅金屬工程有限公司,80000,,是,臺中市大雅區,
沈智慧,中國國民黨,,9,104/12/28,營利事業捐贈收入,17393599,有財重機行,100000,,是,臺中市豐原區,
沈智慧,中國國民黨,,10,104/12/28,營利事業捐贈收入,28580492,舜昕工業有限公司,50000,,是,臺中市清水區,
沈智慧,中國國民黨,,11,104/12/25,營利事業捐贈收入,24497178,百創建設股份有限公司,200000,,是,臺北市松山區,
沈智慧,中國國民黨,,12,104/12/24,營利事業捐贈收入,51008069,大東樹脂化學股份有限公司,200000,,是,臺中市西屯區,
沈智慧,中國國民黨,,13,104/12/21,營利事業捐贈收入,53083768,謙禮開發建設有限公司,200000,,是,臺北市松山區,
沈智慧,中國國民黨,,14,104/12/09,營利事業捐贈收入,52590175,拓凱實業股份有限公司,190000,,是,臺中市工業區,
沈智慧,中國國民黨,,15,104/11/14,營利事業捐贈收入,06067153,陳律伶事務所,6000,,是,臺中市東區互,
沈智慧,中國國民黨,,16,104/11/13,營利事業捐贈收入,36549690,保保旅行社股份有限公司,100000,,是,臺北市長安東,
沈智慧,中國國民黨,,17,104/11/05,營利事業捐贈收入,24497178,百創建設股份有限公司,500000,,是,臺北市松山區,
馬文君,中國國民黨,*,1,105/01/13,營利事業捐贈收入,16882802,金亞洲工業股份有限公司,30000,,是,彰化縣花壇鄉,
馬文君,中國國民黨,*,2,105/01/11,營利事業捐贈收入,23473992,巨漢工程股份有限公司,300000,,是,新竹市東區東,
馬文君,中國國民黨,*,3,105/01/11,營利事業捐贈收入,86339608,飾鴻實業有限公司,500000,,是,南投縣草屯鎮,
馬文君,中國國民黨,*,4,105/01/09,營利事業捐贈收入,55310704,九族文化村股份有限公司,300000,,是,南投縣漁池鄉,
馬文君,中國國民黨,*,5,105/01/05,營利事業捐贈收入,12109602,光和建設開發股份有限公司,800000,,是,臺北市中山區,
馬文君,中國國民黨,*,6,105/01/05,營利事業捐贈收入,96950555,博上廣告股份有限公司,100000,,是,臺北市中山區,
馬文君,中國國民黨,*,7,105/01/04,營利事業捐贈收入,08810469,金鴻成玻璃處理廠,100000,,是,南投縣草屯鎮,
馬文君,中國國民黨,*,8,104/12/31,營利事業捐贈收入,06034386,合光機電工業有限公司,30000,,是,南投縣草屯鎮,
馬文君,中國國民黨,*,9,104/12/31,營利事業捐贈收入,21407770,牛相觸庭園餐坊,6000,,是,南投縣埔里鎮,
馬文君,中國國民黨,*,10,104/12/31,營利事業捐贈收入,13012394,箱根生活館股份有限公司,60000,,是,南投縣埔里鎮,
馬文君,中國國民黨,*,11,104/12/31,營利事業捐贈收入,78106205,埔里農產企業社,20000,,是,南投縣埔里鎮,
馬文君,中國國民黨,*,12,104/12/31,營利事業捐贈收入,39700375,兆迪商務汽車旅館,20000,,是,南投縣埔里鎮,
馬文君,中國國民黨,*,13,104/12/31,營利事業捐贈收入,86928817,昇運砂石股份有限公司,10000,,是,南投縣草屯鎮,
馬文君,中國國民黨,*,14,104/12/31,營利事業捐贈收入,61841791,太隆土木包工業,12000,,是,南投縣埔里鎮,
馬文君,中國國民黨,*,15,104/12/31,營利事業捐贈收入,23556563,廣隆光電科技股份有限公司,100000,,是,南投縣南投市,
馬文君,中國國民黨,*,16,104/12/28,營利事業捐贈收入,22807508,盛光企業股份有限公司,100000,,是,南投縣草屯鎮,
馬文君,中國國民黨,*,17,104/12/28,營利事業捐贈收入,06081401,曾漢棋綜合醫院,60000,,是,南投縣草屯鎮,
馬文君,中國國民黨,*,18,104/12/28,營利事業捐贈收入,56715605,東海生物科技股份有限公司,300000,,是,臺中市梧棲區,
馬文君,中國國民黨,*,19,104/12/25,營利事業捐贈收入,61803298,文和堂,30000,,是,南投縣埔里鎮,
馬文君,中國國民黨,*,20,104/12/25,營利事業捐贈收入,25000978,今埔里大飯店有限公司,50000,,是,南投縣埔里鎮,
馬文君,中國國民黨,*,21,104/12/25,營利事業捐贈收入,54128497,寬心開發建設股份有限公司,200000,,是,南投縣草屯鎮,
馬文君,中國國民黨,*,22,104/12/24,營利事業捐贈收入,86120476,江陵建設股份有限公司,100000,,是,新北市新店區,
馬文君,中國國民黨,*,23,104/12/20,營利事業捐贈收入,19245574,宏基蜜蜂生態農場,80000,,是,南投縣埔里鎮,
馬文君,中國國民黨,*,24,104/12/16,營利事業捐贈收入,86259631,康建生物科技股份有限公司,20000,,是,南投縣草屯鎮,
馬文君,中國國民黨,*,25,104/12/14,營利事業捐贈收入,06129762,保證責任南投縣大湳合作農場,20000,,是,南投縣埔里鎮,
馬文君,中國國民黨,*,26,104/12/14,營利事業捐贈收入,59003799,久津實業股份有限公司,300000,,是,彰化縣福興鄉,
馬文君,中國國民黨,*,27,104/12/14,營利事業捐贈收入,86198804,坤捷企業有限公司,100000,,是,南投縣埔里鎮,
馬文君,中國國民黨,*,28,104/12/14,營利事業捐贈收入,16332639,昇財麗禧酒店股份有限公司,200000,,是,彰化縣員林市,
馬文君,中國國民黨,*,29,104/12/13,營利事業捐贈收入,19245574,宏基蜜蜂生態農場,20000,,是,南投縣埔里鎮,
馬文君,中國國民黨,*,30,104/12/12,營利事業捐贈收入,86754604,日觀實業股份有限公司,100000,,是,新北市新店區,
馬文君,中國國民黨,*,31,104/12/12,營利事業捐贈收入,86120476,江陵建設股份有限公司,100000,,是,新北市新店區,
馬文君,中國國民黨,*,32,104/12/12,營利事業捐贈收入,78104537,文仁銀樓,60000,,是,南投縣埔里鎮,
馬文君,中國國民黨,*,33,104/12/12,營利事業捐贈收入,86259631,康建生物科技股份有限公司,6000,,是,南投縣草屯鎮,
馬文君,中國國民黨,*,34,104/12/12,營利事業捐贈收入,78100820,欣大傢俱行,3000,,是,南投縣埔里鎮,
馬文君,中國國民黨,*,35,104/12/12,營利事業捐贈收入,19257058,台一生態休閒農場,30000,,是,南投縣埔里鎮,
馬文君,中國國民黨,*,36,104/12/11,營利事業捐贈收入,13528955,南投縣私立優蓓仕幼兒園,36000,,是,南投縣草屯鎮,
馬文君,中國國民黨,*,37,104/12/10,營利事業捐贈收入,12981400,上喆蜂蜜有限公司,100000,,是,雲林縣土庫鎮,
馬文君,中國國民黨,*,38,104/12/04,營利事業捐贈收入,28831786,方元投資股份有限公司,100000,,是,臺北市中山區,
馬文君,中國國民黨,*,39,104/12/03,營利事業捐贈收入,27717739,隆安國際社顧問股份有限公司,100000,,是,臺北市松山區,
馬文君,中國國民黨,*,40,104/12/02,營利事業捐贈收入,80151872,璞永建設股份有限公司,100000,,是,臺北市松山區,
馬文君,中國國民黨,*,41,104/11/26,營利事業捐贈收入,61871154,杉林溪遊樂事業股份有限公司,100000,,是,南投縣竹山鎮,
馬文君,中國國民黨,*,42,104/10/23,營利事業捐贈收入,12623517,靖天傳播國際事業股份有限公司,100000,,是,臺北市南港區,
馬文君,中國國民黨,*,43,104/10/15,營利事業捐贈收入,11368215,林建成嘉記股份有限公司,150000,,是,臺北市松山區,
馬文君,中國國民黨,*,44,104/10/15,營利事業捐贈收入,04684639,台嘉投資股份有限公司,150000,,是,臺北市松山區,
馬文君,中國國民黨,*,45,104/10/15,營利事業捐贈收入,12292039,大江生醫股份有限公司,300000,,是,臺北市內湖區,
馬文君,中國國民黨,*,46,104/10/14,營利事業捐贈收入,70445408,世弘工程股份有限公司,300000,,是,臺北市文山區,
馬文君,中國國民黨,*,47,104/10/14,營利事業捐贈收入,16690240,郁信股份有限公司,200000,,是,南投縣南投市,
馬文君,中國國民黨,*,48,104/09/23,營利事業捐贈收入,16182603,總福營造有限公司,500000,,是,南投縣草屯鎮,
馬文君,中國國民黨,*,49,104/09/23,營利事業捐贈收入,27788924,彤翊有限公司,200000,,是,南投縣南投市,
馬文君,中國國民黨,*,50,104/09/08,營利事業捐贈收入,16650346,晟派工程有限公司,20000,,是,南投縣草屯鎮,
馬文君,中國國民黨,*,51,104/09/08,營利事業捐贈收入,53158866,伊塔國際有限公司,100000,,是,南投縣草屯鎮,
盧嘉辰,中國國民黨,,1,105/01/14,營利事業捐贈收入,28069612,原和建材股份有限公司,300000,,是,臺南市安南區,
盧嘉辰,中國國民黨,,2,105/01/11,營利事業捐贈收入,23988339,臺泥化學工業股份有限公司,800000,,是,臺北市中山區,
盧嘉辰,中國國民黨,,3,104/12/31,營利事業捐贈收入,97483122,寶德科技股份有限公司,200000,,是,新北市中和區,
盧嘉辰,中國國民黨,,4,104/12/29,營利事業捐贈收入,24019802,正德防火工業股份有限公司,100000,,是,桃園巿蘆竹區,
盧嘉辰,中國國民黨,,5,104/12/10,營利事業捐贈收入,89413124,桂賢營造股份有限公司,100000,,是,高雄市三民區,
盧嘉辰,中國國民黨,,6,104/12/07,營利事業捐贈收入,97172915,大慶票券金融股份有限公司,300000,,是,臺北市松江路,
盧嘉辰,中國國民黨,,7,104/11/4,營利事業捐贈收入,24276668,綠友建設股份有限公司,100000,,是,新北市中和區,
張慶忠,中國國民黨,,1,105/01/11,營利事業捐贈收入,79976052,米點室內裝修有限公司,30000,,是,新北市中和區,
張慶忠,中國國民黨,,2,105/01/08,營利事業捐贈收入,23988339,臺泥化學工業股份有限公司,800000,,是,臺北市中山區,
張慶忠,中國國民黨,,3,104/12/28,營利事業捐贈收入,96964262,吉美建設事業股份有限公司,300000,,是,臺北市忠孝東,
張慶忠,中國國民黨,,4,104/12/21,營利事業捐贈收入,84255792,幸孚預拌混凝土廠股份有限公司,300000,,是,桃園市楊梅區,
張慶忠,中國國民黨,,5,104/12/18,營利事業捐贈收入,01408694,天仁木業股份有限公司,50000,,是,臺北市西園路,
張慶忠,中國國民黨,,6,104/12/16,營利事業捐贈收入,22818483,泰鴻實業股份有限公司,50000,,是,臺北市南京東,
張慶忠,中國國民黨,,7,104/12/15,營利事業捐贈收入,04567007,理研電器股份有限公司,100000,,是,新北市中和區,
張慶忠,中國國民黨,,8,104/12/07,營利事業捐贈收入,97172915,大慶票券金融股份有限公司,300000,,是,臺北市中山區,
張慶忠,中國國民黨,,9,104/11/25,營利事業捐贈收入,80118136,蘿曼仕旅舘股份有限公司,100000,,是,新北市永和區,
張慶忠,中國國民黨,,10,104/11/19,營利事業捐贈收入,54835648,王將國際企業有限公司,1000,,是,新北市中和區,
張慶忠,中國國民黨,,11,104/11/11,營利事業捐贈收入,86095552,三芳紙業有限公司,50000,,是,新北市土城區,
張慶忠,中國國民黨,,12,104/11/10,營利事業捐贈收入,80218542,佐芳天然水晶企業有限公司,50000,,是,臺北市北投區,
張慶忠,中國國民黨,,13,104/11/6,營利事業捐贈收入,33802086,台裕電業股份有限公司,60000,,是,新北市中和區,
徐志榮,中國國民黨,*,1,105/01/06,營利事業捐贈收入,86335639,振邦工業股份有限公司,300000,,是,苗栗縣銅鑼鄉,
徐志榮,中國國民黨,*,2,105/01/04,營利事業捐贈收入,16050315,康益股份有限公司,100000,,是,苗栗縣苗栗市,
徐志榮,中國國民黨,*,3,104/12/29,營利事業捐贈收入,80098808,泰安觀止溫泉股份有限公司,100000,,是,苗栗縣泰安鄉,
徐志榮,中國國民黨,*,4,104/12/28,營利事業捐贈收入,53261067,大自然綠化有限公司,100000,,是,苗栗縣頭份鎮,
徐志榮,中國國民黨,*,5,104/12/25,營利事業捐贈收入,70492062,翊倉國際通運有限公司,10000,,是,苗栗縣公館鄉,
徐志榮,中國國民黨,*,6,104/12/24,營利事業捐贈收入,16382551,光美加油站有限公司,10000,,是,苗栗縣竹南鎮,
徐志榮,中國國民黨,*,7,104/12/24,營利事業捐贈收入,16526380,光騏加油站股份有限公司,10000,,是,苗栗縣竹南鎮,
徐志榮,中國國民黨,*,8,104/12/16,營利事業捐贈收入,23220076,昌盛國際企業股份有限公司,300000,,是,臺北市松山區,
徐志榮,中國國民黨,*,9,104/12/16,營利事業捐贈收入,49701774,冠軍建材股份有限公司,200000,,是,苗栗縣竹南鎮,
徐志榮,中國國民黨,*,10,104/12/16,營利事業捐贈收入,23542766,信邦電子股份有限公司,300000,,是,苗栗縣苗栗市,
