流水號,候選人,序號,交易日期,交易年,收支科目,統一編號,捐贈者／支出對象,收入金額,支出金額,金錢類,地址,P,營業地址
274,林岱樺,58,104/10/20,104,營利事業捐贈收入,24682552,一汁獨秀有限公司,10000,NA,是,高雄市鳳山區,223,高雄市鳳山區華山街256號1樓
2872,李俊俋,10,104/12/14,104,營利事業捐贈收入,93936460,一安藥局,50000,NA,是,嘉義市西區福,NA,嘉義市西區福民里興業西路311號1樓
2431,林國春,16,104/12/16,104,營利事業捐贈收入,89697733,一亨營造有限公司,100000,NA,是,新北市板橋區,NA,新北市板橋區文化里松江街39號1樓
5291,吳思瑤,4,105/01/06,105,營利事業捐贈收入,15001219,一協榮股份有限公司,30000,NA,是,臺北市萬華區,NA,臺北市萬華區新起里西寧南路158號
5293,林郁方,20,104/12/07,104,營利事業捐贈收入,15001219,一協榮股份有限公司,200000,NA,是,臺北市萬華區,NA,臺北市萬華區新起里西寧南路158號
5292,廖正井,18,104/11/30,104,營利事業捐贈收入,15001219,一協榮股份有限公司,100000,NA,是,臺北市萬華區,NA,臺北市萬華區新起里西寧南路158號
125,王惠美,92,104/11/19,104,營利事業捐贈收入,5255261,一原金屬工業股份有限公司,100000,NA,是,彰化縣鹿港鎮,210,臺中市西屯區惠來里7鄰市政路386號16樓之8
5351,王定宇,86,104/10/09,104,營利事業捐贈收入,22709963,一誠纖維股份有限公司,20000,NA,是,臺南市仁德區,219,臺南市中西區建國里民生路1段157巷12-1號
3084,王惠美,35,104/12/27,104,營利事業捐贈收入,59031789,一億紡織股份有限公司,10000,NA,是,彰化縣和美鎮,212,彰化縣和美鎮頭前里北堂路183號
5460,陳亭妃,111,104/12/10,104,營利事業捐贈收入,54069645,一鴻投資有限公司,100000,NA,是,臺南市北區和,NA,臺南市北區成德里和緯路2段482號1樓
1427,劉世芳,45,104/09/14,104,營利事業捐贈收入,28292274,乙弘國際股份有限公司,80000,NA,是,高雄市左營區,198,高雄市左營區新上里明華一路229號6樓
1778,許智傑,57,104/11/18,104,營利事業捐贈收入,27204891,乙億有限公司,50000,NA,是,高雄市三民區,NA,高雄市苓雅區苓東里苓中路6號
3158,陳素月,57,104/11/19,104,營利事業捐贈收入,60273567,丁守企業股份有限公司,150000,NA,是,彰化縣員林市,134,彰化縣員林市南東里員草路931號
3892,黃國書,58,104/10/21,104,營利事業捐贈收入,16697617,九上實業股份有限公司,50000,NA,是,臺中市南屯區,225,臺中市南屯區三和里河南路4段458之2號1樓
2780,蕭美琴,11,104/12/25,104,營利事業捐贈收入,40992224,九五建築企業社,20000,NA,是,新竹市北大路,NA,新竹市東區錦華里北大路5號6樓之6
5302,林郁方,6,104/12/31,104,營利事業捐贈收入,16304161,九五樂府有限公司,50000,NA,是,臺北市萬華區,NA,臺北市萬華區萬壽里漢口街2段20巷11號1樓
2321,丁守中,7,105/01/10,105,營利事業捐贈收入,16205893,九太科技股份有限公司,200000,NA,是,新北市中和區,NA,新北市中和區連城路268號3樓之3
2324,李昆澤,50,104/10/12,104,營利事業捐贈收入,16205893,九太科技股份有限公司,300000,NA,是,新北市中和區,207,新北市中和區連城路268號3樓之3
2322,李婉鈺,3,105/01/06,105,營利事業捐贈收入,16205893,九太科技股份有限公司,200000,NA,是,新北市中和區,NA,新北市中和區連城路268號3樓之3
2323,劉世芳,69,104/07/22,104,營利事業捐贈收入,16205893,九太科技股份有限公司,300000,NA,是,新北市中和區,198,新北市中和區連城路268號3樓之3
3172,陳文彬,17,104/12/31,104,營利事業捐贈收入,16708369,九良易鋼鐵有限公司,5000,NA,是,彰化縣埔鹽鄉,189,彰化縣埔鹽鄉出水村7鄰埔港路52號
5009,張顯耀,15,104/12/16,104,營利事業捐贈收入,86517650,九昱建設股份有限公司,100000,NA,是,臺北市松山區,NA,臺北市松山區中正里南京東路3段248號10樓之2
5010,陳超明,25,104/12/16,104,營利事業捐贈收入,86517650,九昱建設股份有限公司,100000,NA,是,臺北市松山區,235,臺北市松山區中正里南京東路3段248號10樓之2
2162,蘇治芬,29,104/11/16,104,營利事業捐贈收入,53500953,九國建設有限公司,50000,NA,是,雲林縣虎尾鎮,NA,雲林縣虎尾鎮東仁里31鄰東明路69號1樓
561,馬文君,4,105/01/09,105,營利事業捐贈收入,55310704,九族文化村股份有限公司,300000,NA,是,南投縣漁池鄉,NA,南投縣魚池鄉大林村金天巷45-1號
1838,管碧玲,5,105/01/04,105,營利事業捐贈收入,76376110,九陽股份有限公司,100000,NA,否,高雄市新興區,216,高雄市新興區永寧里復興二路233號
1601,林岱樺,51,104/10/23,104,營利事業捐贈收入,70546139,九鼎資產管理股份有限公司,100000,NA,是,高雄市前金區,223,高雄市前金區文東里中山二路505號7樓
1600,鄭天財,2,105/01/14,105,營利事業捐贈收入,70546139,九鼎資產管理股份有限公司,30000,NA,是,高雄市前金區,170,高雄市前金區文東里中山二路505號7樓
2648,吳秉叡,85,104/08/13,104,營利事業捐贈收入,80629340,九滎股份有限公司,150000,NA,是,新北市新莊區,NA,新北市新莊區西盛里瓊林南路301巷2號
2647,蘇巧慧,14,104/12/03,104,營利事業捐贈收入,80629340,九滎股份有限公司,100000,NA,是,新北市新莊區,188,新北市新莊區西盛里瓊林南路301巷2號
5342,陳亭妃,76,104/12/22,104,營利事業捐贈收入,40738286,九龍茶餐廳,20000,NA,是,臺南市中西區,NA,臺南市中西區民權里民生路2段178號1樓
1361,張顯耀,22,104/12/09,104,營利事業捐贈收入,24515274,九聯環保科技有限公司,10000,NA,是,高雄市仁武區,NA,高雄市仁武區赤山里赤和街57號1樓
1016,陳永福,12,104/11/20,104,營利事業捐贈收入,80119439,九鴻建設股份有限公司,800000,NA,是,桃園市龜山區,NA,桃園市龜山區文化里14鄰公園路30號12樓
3585,洪慈庸,46,104/10/28,104,營利事業捐贈收入,54117055,九曜文化科技有限公司,10000,NA,是,臺中市北區美,253,臺中市北區淡溝里美德街385號1樓
3347,王惠美,136,104/08/19,104,營利事業捐贈收入,59175568,二億企業股份有限公司,300000,NA,是,彰化縣福興鄉,209,彰化縣福興鄉三汴村4鄰興業路16號
3346,陳朝容,3,105/01/02,105,營利事業捐贈收入,59175568,二億企業股份有限公司,200000,NA,是,彰化縣福興鄉,148,彰化縣福興鄉三汴村4鄰興業路16號
3789,蔡煌瑯,33,104/09/07,104,營利事業捐贈收入,58003103,人生製藥股份有限公司,50000,NA,是,臺中市西屯區,245,臺中市西屯區協和里工業區五路3號
1476,邱議瑩,105,104/07/25,104,營利事業捐贈收入,28836494,人杰老四川餐飲管理顧問股份有限公司,200000,NA,是,高雄市左營區,244,高雄市左營區福山里文學路597號
1474,管碧玲,140,104/07/10,104,營利事業捐贈收入,28836494,人杰老四川餐飲管理顧問股份有限公司,100000,NA,是,高雄市左營區,213,高雄市左營區福山里文學路597號
1475,趙天麟,78,104/09/11,104,營利事業捐贈收入,28836494,人杰老四川餐飲管理顧問股份有限公司,100000,NA,是,高雄市左營區,240,高雄市左營區福山里文學路597號
1473,劉世芳,11,104/12/08,104,營利事業捐贈收入,28836494,人杰老四川餐飲管理顧問股份有限公司,100000,NA,是,高雄市苓雅區,199,高雄市左營區福山里文學路597號
2262,瓦歷斯貝林,4,104/11/24,104,營利事業捐贈收入,54872122,八九購購股份有限公司,500000,NA,是,新北市土城區,302,新北市土城區頂埔里中央路四段51號8樓之11
2261,吳琪銘,7,104/11/30,104,營利事業捐贈收入,54872122,八九購購股份有限公司,200000,NA,是,新北市土城區,NA,新北市土城區頂埔里中央路四段51號8樓之11
4442,李慶元,18,104/08/24,104,營利事業捐贈收入,86774968,八方行旅行社股份有限公司,10000,NA,是,臺北市中正區,136,臺北市大安區龍圖里信義路三段150號8樓
4441,黃珊珊,46,104/08/25,104,營利事業捐贈收入,86774968,八方行旅行社股份有限公司,10000,NA,是,臺北市中正區,NA,臺北市大安區龍圖里信義路三段150號8樓
4392,王寶萱,2,104/07/26,104,營利事業捐贈收入,24463521,八方國際文化事業有限公司,12000,NA,是,臺北市內湖區,294,臺北市大安區華聲里光復南路72巷73號3樓
819,林岱樺,54,104/10/22,104,營利事業捐贈收入,24201689,八馬國際事業有限公司,100000,NA,是,桃園市中壢區,223,桃園市中壢區新街里環北路398號5樓之6
818,林岱樺,43,104/10/28,104,營利事業捐贈收入,24201689,八馬國際事業有限公司,50000,NA,是,桃園市中壢區,223,桃園市中壢區新街里環北路398號5樓之6
5469,黃偉哲,7,104/12/28,104,營利事業捐贈收入,84511287,八德開發股份有限公司,200000,NA,是,臺南市左鎮區,NA,臺南市左鎮區光和里光和109-1號
3897,黃秀芳,37,104/12/15,104,營利事業捐贈收入,80467289,八豐盟有限公司,21000,NA,是,臺中市南區大,177,臺中市南屯區三義里大業路569號地下1樓之1
4261,林淑芬,9,104/11/13,104,營利事業捐贈收入,70700300,力太通運股份有限公司,10000,NA,是,臺北市大同區,176,臺北市大同區歸綏街209號2樓之5
644,王進士,8,104/12/31,104,營利事業捐贈收入,87651535,力弘水電工程行,10000,NA,是,屏東縣萬丹鄉,NA,屏東縣萬丹鄉萬生村元泰街38巷19號
2860,李俊俋,45,104/09/08,104,營利事業捐贈收入,97247583,力有營造有限公司,10000,NA,是,嘉義市西區重,NA,嘉義市西區紅瓦里重慶二街210號1樓
1042,陳根德,26,104/12/28,104,營利事業捐贈收入,35974181,力根實業股份有限公司,300000,NA,是,桃園市龜山區,NA,桃園市龜山區舊路里東舊路街142號
4475,鄭汝芬,6,104/12/31,104,營利事業捐贈收入,86865398,力強實業股份有限公司,500000,NA,是,臺北市中山區,NA,臺北市中山區中吉里吉林路99號2樓
2501,吳育昇,51,104/11/13,104,營利事業捐贈收入,86966375,力通國際開發股份有限公司,500000,NA,是,新北市林口區,NA,新北市林口區仁愛里文化一路1段85號5樓
2547,林淑芬,11,104/11/13,104,營利事業捐贈收入,24728332,力琨企業有限公司,10000,NA,是,新北市泰山區,176,新北市淡水區淡金路2段381號8樓
2395,姚文智,49,104/11/24,104,營利事業捐贈收入,30954138,力菱機電事業股份有限公司,100000,NA,是,新北市汐止區,201,新北市汐止區保安里茄安路176號
1277,管碧玲,59,104/09/15,104,營利事業捐贈收入,16126997,力源電子有限公司,60000,NA,是,高雄市鼓山區,215,高雄市大寮區後庄里鳳屏一路39號
1291,張顯耀,7,104/12/30,104,營利事業捐贈收入,54200130,力盟企業有限公司,50000,NA,是,高雄市大寮區,NA,高雄市大寮區過溪里鳳明路172巷32號
150,姚文智,21,104/12/24,104,營利事業捐贈收入,4465108,力福實業股份有限公司,1000000,NA,是,臺北市大同區,202,臺北市大同區建泰里太原路77號1樓
